Feature,Importance
fr_phenol,0.06993569272591817
Chi4n,0.05611202901208475
NumHDonors,0.05535231925014393
MolLogP,0.054815863855965014
VSA_EState4,0.04572776005272967
EState_VSA4,0.03801079639410968
VSA_EState7,0.037838971832397254
fr_allylic_oxid,0.036452916460233666
NumBridgeheadAtoms,0.03433502901490887
SMR_VSA10,0.03177324996428702
SMR_VSA3,0.03127882676836809
fr_phenol_noOrthoHbond,0.028379983032713368
VSA_EState5,0.021222518436623483
PEOE_VSA7,0.020102558731582395
VSA_EState9,0.019246722955736033
VSA_EState3,0.012757592457238157
SlogP_VSA10,0.012412028804843078
fr_C_O,0.012207920726613282
fr_C_O_noCOO,0.011454426911436376
HallKierAlpha,0.011186307582478882
MinAbsEStateIndex,0.011167951954518167
Chi0n,0.010655364930123874
Phi,0.010500520678126485
SlogP_VSA4,0.010474273384063114
VSA_EState10,0.010226351365188381
PEOE_VSA1,0.010047218178921537
fr_piperzine,0.01000170924430195
SMR_VSA1,0.009814294598028836
EState_VSA9,0.009722821933895323
Chi1,0.00961362469942973
fr_piperdine,0.009556233989299372
MaxAbsEStateIndex,0.009520947591197235
SlogP_VSA1,0.009349071930519018
NumRotatableBonds,0.008928716094817837
qed,0.008732378883350642
SlogP_VSA8,0.008229587991380601
VSA_EState6,0.00800666952119623
fr_halogen,0.008001310162484504
EState_VSA3,0.007865220089475797
EState_VSA5,0.0078037532525760496
FpDensityMorgan3,0.007605436391104569
PEOE_VSA12,0.006784220949638628
HeavyAtomMolWt,0.006710806490714178
PEOE_VSA9,0.006439773431976262
PEOE_VSA6,0.006338493794935286
Chi0,0.0058496443228074416
SMR_VSA7,0.004995548904225356
VSA_EState8,0.004781547768114641
SlogP_VSA5,0.004616191915665169
EState_VSA10,0.004400573405191356
ExactMolWt,0.004321774553912812
EState_VSA8,0.0042053322833005705
SMR_VSA6,0.004195768522135831
NHOHCount,0.003909506333269903
fr_Al_COO,0.003904702818834553
fr_alkyl_halide,0.003846471384257992
fr_Ar_OH,0.003844352972645573
PEOE_VSA14,0.0036863589734384035
SPS,0.003329507432097039
NumAmideBonds,0.003298605761148529
MinEStateIndex,0.003291359738781445
SMR_VSA9,0.0032059617405940355
PEOE_VSA8,0.002806741405307092
PEOE_VSA11,0.002755284810158048
FpDensityMorgan2,0.0026744360833435487
fr_amide,0.0026467213363021184
MaxEStateIndex,0.00247440130814411
Chi2v,0.002434608633576287
